run,buffer_size,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,8KB_L1,22452108279688,19042,0,0,0,0,0,0
1,8KB_L1,22452108295914,7596,0,0,0,0,0,0
2,8KB_L1,22452108310517,7240,0,0,0,0,0,0
3,8KB_L1,22452108325327,7533,0,0,0,0,0,0
4,8KB_L1,22452108339869,7280,0,0,0,0,0,0
5,8KB_L1,22452108355133,8016,0,0,0,0,0,0
6,8KB_L1,22452108378439,12017,0,0,0,0,0,0
7,8KB_L1,22452108401203,11046,0,0,0,0,0,0
8,8KB_L1,22452108415988,7297,0,0,0,0,0,0
9,8KB_L1,22452108430667,7154,0,0,0,0,0,0
0,128KB_L2,22452108489575,11329,0,0,0,0,0,0
1,128KB_L2,22452108507621,10603,0,0,0,0,0,0
2,128KB_L2,22452108527396,11461,0,0,0,0,0,0
3,128KB_L2,22452108545975,10517,0,0,0,0,0,0
4,128KB_L2,22452108563767,10483,0,0,0,0,0,0
5,128KB_L2,22452108581504,10413,0,0,0,0,0,0
6,128KB_L2,22452108599159,10346,0,0,0,0,0,0
7,128KB_L2,22452108616936,10450,0,0,0,0,0,0
8,128KB_L2,22452108634483,10286,0,0,0,0,0,0
9,128KB_L2,22452108652217,10410,0,0,0,0,0,0
0,4MB_L3,22452110021401,176080,0,0,0,0,0,0
1,4MB_L3,22452110267204,234061,0,0,0,0,0,0
2,4MB_L3,22452110507353,229398,0,0,0,0,0,0
3,4MB_L3,22452110736445,217497,0,0,0,0,0,0
4,4MB_L3,22452110967382,219484,0,0,0,0,0,0
5,4MB_L3,22452111187621,209185,0,0,0,0,0,0
6,4MB_L3,22452111407581,209623,0,0,0,0,0,0
7,4MB_L3,22452111628008,210262,0,0,0,0,0,0
8,4MB_L3,22452111840981,201087,0,0,0,0,0,0
9,4MB_L3,22452112051548,197021,0,0,0,0,0,0
0,64MB_DRAM,22452134721226,3300256,0,0,0,0,0,0
1,64MB_DRAM,22452137755736,3009352,0,0,0,0,0,0
2,64MB_DRAM,22452140773772,2995452,0,0,0,0,0,0
3,64MB_DRAM,22452143779827,2984540,0,0,0,0,0,0
4,64MB_DRAM,22452146803842,3002549,0,0,0,0,0,0
5,64MB_DRAM,22452149863524,3037707,0,0,0,0,0,0
6,64MB_DRAM,22452153199455,3312071,0,0,0,0,0,0
7,64MB_DRAM,22452156231342,3005782,0,0,0,0,0,0
8,64MB_DRAM,22452159236633,2981798,0,0,0,0,0,0
9,64MB_DRAM,22452162245238,2985540,0,0,0,0,0,0
