run,threads,lock_type,runtime_ns,ops_per_sec
0,1,spinlock,5717343,174906421
0,1,mutex,12500863,79994477
0,1,atomic,4567650,218930960
1,1,spinlock,5662077,176613635
1,1,mutex,13285534,75269839
1,1,atomic,4050182,246902485
2,1,spinlock,5843288,171136525
2,1,mutex,13204579,75731305
2,1,atomic,4826812,207176082
3,1,spinlock,5624457,177794941
3,1,mutex,13051121,76621771
3,1,atomic,3959418,252562372
4,1,spinlock,5837367,171310113
4,1,mutex,16699627,59881577
4,1,atomic,3847266,259924840
0,2,spinlock,64261172,31122993
0,2,mutex,104358386,19164727
0,2,atomic,41893434,47740178
1,2,spinlock,74884603,26707760
1,2,mutex,97917023,20425458
1,2,atomic,41246283,48489218
2,2,spinlock,79444070,25174944
2,2,mutex,103175653,19384418
2,2,atomic,40956720,48832035
3,2,spinlock,76113931,26276399
3,2,mutex,106182928,18835420
3,2,atomic,41006652,48772575
4,2,spinlock,79195187,25254060
4,2,mutex,73741417,27121800
4,2,atomic,42395471,47174850
0,4,spinlock,339528643,11781038
0,4,mutex,192955660,20730151
0,4,atomic,101580538,39377622
1,4,spinlock,287085487,13933132
1,4,mutex,195664963,20443108
1,4,atomic,99189169,40326984
2,4,spinlock,261362942,15304388
2,4,mutex,204389227,19570503
2,4,atomic,98385421,40656430
3,4,spinlock,274124187,14591927
3,4,mutex,195960910,20412234
3,4,atomic,95375483,41939499
4,4,spinlock,283314652,14118578
4,4,mutex,192861100,20740315
4,4,atomic,96271184,41549297
0,8,spinlock,814760825,9818832
0,8,mutex,525042747,15236855
0,8,atomic,222316085,35984801
1,8,spinlock,822467269,9726831
1,8,mutex,524353368,15256887
1,8,atomic,215459931,37129874
2,8,spinlock,826507932,9679278
2,8,mutex,524402660,15255453
2,8,atomic,207553471,38544284
3,8,spinlock,835808947,9571565
3,8,mutex,524677011,15247476
3,8,atomic,211846447,37763201
4,8,spinlock,818484922,9774157
4,8,mutex,529306872,15114106
4,8,atomic,216486482,36953809
