run,nice_level,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,nice0,22440053941133,417247493,0,33,0,0,8,1
1,nice0,22440478952764,424958093,0,49,0,0,1,3
2,nice0,22440897487070,418488785,0,2,0,0,3,3
3,nice0,22441315732916,418198558,0,2,0,0,3,3
4,nice0,22441734122527,418343455,0,2,0,0,3,3
5,nice0,22442152797857,418621545,0,2,0,0,3,3
6,nice0,22442571351521,418513135,0,3,0,0,3,3
7,nice0,22442994659156,423276727,0,2,0,0,3,3
8,nice0,22443405085715,410392736,0,1,0,0,3,3
9,nice0,22443815329747,410198213,0,3,0,0,3,3
0,nice10,22444225533732,410128109,0,2,0,0,3,3
1,nice10,22444635696999,410130331,0,3,0,0,3,3
2,nice10,22445046065048,410311932,0,1,0,0,3,3
3,nice10,22445463694412,417581203,0,36,0,0,3,1
4,nice10,22445882580781,418815938,0,4,0,0,1,0
5,nice10,22446300981239,418353386,0,12,0,0,0,1
6,nice10,22446717279386,416237576,0,8,0,0,1,1
7,nice10,22447136108151,418789985,0,2,0,0,1,1
8,nice10,22447556168515,420006769,0,5,0,0,1,2
9,nice10,22447969031736,412811002,0,6,0,0,2,2
0,nice19,22448387765249,418670532,0,5,0,0,2,2
1,nice19,22448806399951,418587163,0,4,0,0,2,2
2,nice19,22449224290786,417844023,0,10,0,0,2,0
3,nice19,22449636376162,412025909,0,10,0,0,0,2
4,nice19,22450046659908,410229006,0,3,0,0,2,2
5,nice19,22450456813121,410113228,0,7,0,0,2,2
6,nice19,22450867200481,410344871,0,4,0,0,2,2
7,nice19,22451277500010,410247728,0,6,0,0,2,3
8,nice19,22451688368170,410819135,0,5,0,0,3,3
9,nice19,22452098656878,410235223,0,2,0,0,3,3
