run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,null_minimal,22499990022252,86513,0,0,0,0,0,0
1,null_minimal,22499990091344,30692,0,0,0,0,0,0
2,null_minimal,22499990148931,28186,0,0,0,0,0,0
3,null_minimal,22499990208145,29650,0,0,0,0,0,0
4,null_minimal,22499990263826,27401,0,0,0,0,0,0
5,null_minimal,22499990319723,27407,0,0,0,0,0,0
6,null_minimal,22499990376019,27297,0,0,0,0,0,0
7,null_minimal,22499990431869,27797,0,0,0,0,0,0
8,null_minimal,22499990487804,27297,0,0,0,0,0,0
9,null_minimal,22499990543342,27309,0,0,0,0,0,0
10,null_minimal,22499990599106,27425,0,0,0,0,0,0
11,null_minimal,22499990655236,27878,0,0,0,0,0,0
12,null_minimal,22499990710891,27403,0,0,0,0,0,0
13,null_minimal,22499990766499,27257,0,0,0,0,0,0
14,null_minimal,22499990821829,27042,0,0,0,0,0,0
15,null_minimal,22499990878109,28233,0,0,0,0,0,0
16,null_minimal,22499990967241,59914,0,0,0,0,0,0
17,null_minimal,22499991024213,27935,0,0,0,0,0,0
18,null_minimal,22499991080363,27604,0,0,0,0,0,0
19,null_minimal,22499991136824,27735,0,0,0,0,0,0
20,null_minimal,22499991192517,27849,0,0,0,0,0,0
21,null_minimal,22499991248205,27185,0,0,0,0,0,0
22,null_minimal,22499991303325,27256,0,0,0,0,0,0
23,null_minimal,22499991358997,27154,0,0,0,0,0,0
24,null_minimal,22499991414758,27462,0,0,0,0,0,0
25,null_minimal,22499991469545,26966,0,0,0,0,0,0
26,null_minimal,22499991525003,27293,0,0,0,0,0,0
27,null_minimal,22499991580386,27544,0,0,0,0,0,0
28,null_minimal,22499991635642,26972,0,0,0,0,0,0
29,null_minimal,22499991691201,27346,0,0,0,0,0,0
30,null_minimal,22499991747238,27897,0,0,0,0,0,0
31,null_minimal,22499991802859,27303,0,0,0,0,0,0
32,null_minimal,22499991858494,27123,0,0,0,0,0,0
33,null_minimal,22499991915882,29125,0,0,0,0,0,0
34,null_minimal,22499992005142,27804,0,0,0,0,0,0
35,null_minimal,22499992061144,27831,0,0,0,0,0,0
36,null_minimal,22499992116582,27093,0,0,0,0,0,0
37,null_minimal,22499992172618,27581,0,0,0,0,0,0
38,null_minimal,22499992230057,28282,0,0,0,0,0,0
39,null_minimal,22499992287252,27732,0,0,0,0,0,0
40,null_minimal,22499992343022,27369,0,0,0,0,0,0
41,null_minimal,22499992398580,27358,0,0,0,0,0,0
42,null_minimal,22499992454272,27270,0,0,0,0,0,0
43,null_minimal,22499992509559,26911,0,0,0,0,0,0
44,null_minimal,22499992564511,26840,0,0,0,0,0,0
45,null_minimal,22499992620004,27492,0,0,0,0,0,0
46,null_minimal,22499992675626,27317,0,0,0,0,0,0
47,null_minimal,22499992731048,27408,0,0,0,0,0,0
48,null_minimal,22499992787192,27914,0,0,0,0,0,0
49,null_minimal,22499992842764,27390,0,0,0,0,0,0
50,null_minimal,22499992897928,27465,0,0,0,0,0,0
51,null_minimal,22499992975252,34183,0,0,0,0,0,0
52,null_minimal,22499993033065,29430,0,0,0,0,0,0
53,null_minimal,22499993088267,27435,0,0,0,0,0,0
54,null_minimal,22499993143673,27096,0,0,0,0,0,0
55,null_minimal,22499993198916,27132,0,0,0,0,0,0
56,null_minimal,22499993254879,27737,0,0,0,0,0,0
57,null_minimal,22499993310709,27683,0,0,0,0,0,0
58,null_minimal,22499993366169,27115,0,0,0,0,0,0
59,null_minimal,22499993421809,27253,0,0,0,0,0,0
60,null_minimal,22499993477733,27653,0,0,0,0,0,0
61,null_minimal,22499993532984,27211,0,0,0,0,0,0
62,null_minimal,22499993588384,27413,0,0,0,0,0,0
63,null_minimal,22499993644429,27753,0,0,0,0,0,0
64,null_minimal,22499993699686,26939,0,0,0,0,0,0
65,null_minimal,22499993754906,27365,0,0,0,0,0,0
66,null_minimal,22499993810233,27263,0,0,0,0,0,0
67,null_minimal,22499993867059,28151,0,0,0,0,0,0
68,null_minimal,22499993945077,49607,0,0,0,0,0,0
69,null_minimal,22499994012715,27858,0,0,0,0,0,0
70,null_minimal,22499994068734,27157,0,0,0,0,0,0
71,null_minimal,22499994124274,27270,0,0,0,0,0,0
72,null_minimal,22499994179589,27122,0,0,0,0,0,0
73,null_minimal,22499994235279,27725,0,0,0,0,0,0
74,null_minimal,22499994291936,28453,0,0,0,0,0,0
75,null_minimal,22499994347480,27583,0,0,0,0,0,0
76,null_minimal,22499994403280,27578,0,0,0,0,0,0
77,null_minimal,22499994459706,27878,0,0,0,0,0,0
78,null_minimal,22499994514979,27003,0,0,0,0,0,0
79,null_minimal,22499994570479,27443,0,0,0,0,0,0
80,null_minimal,22499994626025,27234,0,0,0,0,0,0
81,null_minimal,22499994748316,31800,0,0,0,0,0,0
82,null_minimal,22499994805525,27867,0,0,0,0,0,0
83,null_minimal,22499994862079,28185,0,0,0,0,0,0
84,null_minimal,22499994920761,30205,0,0,0,0,0,0
85,null_minimal,22499995005423,28000,0,0,0,0,0,0
86,null_minimal,22499995061997,27212,0,0,0,0,0,0
87,null_minimal,22499995117605,27249,0,0,0,0,0,0
88,null_minimal,22499995173103,27262,0,0,0,0,0,0
89,null_minimal,22499995228528,27063,0,0,0,0,0,0
90,null_minimal,22499995284390,27019,0,0,0,0,0,0
91,null_minimal,22499995340001,27408,0,0,0,0,0,0
92,null_minimal,22499995395650,27523,0,0,0,0,0,0
93,null_minimal,22499995451330,27513,0,0,0,0,0,0
94,null_minimal,22499995506664,27417,0,0,0,0,0,0
95,null_minimal,22499995562386,26968,0,0,0,0,0,0
96,null_minimal,22499995617299,27011,0,0,0,0,0,0
97,null_minimal,22499995673030,27910,0,0,0,0,0,0
98,null_minimal,22499995728579,27252,0,0,0,0,0,0
99,null_minimal,22499995783917,27252,0,0,0,0,0,0
0,empty_loop,22499995845892,33068,0,0,0,0,0,0
1,empty_loop,22499995907504,32335,0,0,0,0,0,0
2,empty_loop,22499995982368,32890,0,0,0,0,0,0
3,empty_loop,22499996043696,32647,0,0,0,0,0,0
4,empty_loop,22499996105552,33177,0,0,0,0,0,0
5,empty_loop,22499996166169,32261,0,0,0,0,0,0
6,empty_loop,22499996228566,32857,0,0,0,0,0,0
7,empty_loop,22499996291802,34138,0,0,0,0,0,0
8,empty_loop,22499996353824,33982,0,0,0,0,0,0
9,empty_loop,22499996416457,33517,0,0,0,0,0,0
10,empty_loop,22499996479312,33732,0,0,0,0,0,0
11,empty_loop,22499996540455,32612,0,0,0,0,0,0
12,empty_loop,22499996602363,33124,0,0,0,0,0,0
13,empty_loop,22499996663726,32787,0,0,0,0,0,0
14,empty_loop,22499996724064,32015,0,0,0,0,0,0
15,empty_loop,22499996785385,32956,0,0,0,0,0,0
16,empty_loop,22499996847478,33269,0,0,0,0,0,0
17,empty_loop,22499996908577,32760,0,0,0,0,0,0
18,empty_loop,22499996994338,34192,0,0,0,0,0,0
19,empty_loop,22499997055852,32999,0,0,0,0,0,0
20,empty_loop,22499997117102,32959,0,0,0,0,0,0
21,empty_loop,22499997178743,33050,0,0,0,0,0,0
22,empty_loop,22499997239981,32588,0,0,0,0,0,0
23,empty_loop,22499997301219,33029,0,0,0,0,0,0
24,empty_loop,22499997362481,33321,0,0,0,0,0,0
25,empty_loop,22499997423144,32430,0,0,0,0,0,0
26,empty_loop,22499997484795,33026,0,0,0,0,0,0
27,empty_loop,22499997544810,31752,0,0,0,0,0,0
28,empty_loop,22499997606236,32103,0,0,0,0,0,0
29,empty_loop,22499997668436,34283,0,0,0,0,0,0
30,empty_loop,22499997729848,33010,0,0,0,0,0,0
31,empty_loop,22499997789958,32151,0,0,0,0,0,0
32,empty_loop,22499997851419,32482,0,0,0,0,0,0
33,empty_loop,22499997912810,32970,0,0,0,0,0,0
34,empty_loop,22499997994426,35322,0,0,0,0,0,0
35,empty_loop,22499998055906,32197,0,0,0,0,0,0
36,empty_loop,22499998118965,35141,0,0,0,0,0,0
37,empty_loop,22499998176486,30704,0,0,0,0,0,0
38,empty_loop,22499998233681,30800,0,0,0,0,0,0
39,empty_loop,22499998290422,30572,0,0,0,0,0,0
40,empty_loop,22499998346865,30554,0,0,0,0,0,0
41,empty_loop,22499998403420,30335,0,0,0,0,0,0
42,empty_loop,22499998473795,36479,0,0,0,0,0,0
43,empty_loop,22499998543834,39007,0,0,0,0,0,0
44,empty_loop,22499998601928,30819,0,0,0,0,0,0
45,empty_loop,22499998658168,30291,0,0,0,0,0,0
46,empty_loop,22499998714877,29663,0,0,0,0,0,0
47,empty_loop,22499998771043,29634,0,0,0,0,0,0
48,empty_loop,22499998827835,30549,0,0,0,0,0,0
49,empty_loop,22499998884051,30344,0,0,0,0,0,0
50,empty_loop,22499998958382,47790,0,0,0,0,0,0
51,empty_loop,22499999015146,29804,0,0,0,0,0,0
52,empty_loop,22499999071478,29862,0,0,0,0,0,0
53,empty_loop,22499999128176,29811,0,0,0,0,0,0
54,empty_loop,22499999184473,29322,0,0,0,0,0,0
55,empty_loop,22499999237296,27646,0,0,0,0,0,0
56,empty_loop,22499999290190,28182,0,0,0,0,0,0
57,empty_loop,22499999342746,28104,0,0,0,0,0,0
58,empty_loop,22499999395000,27597,0,0,0,0,0,0
59,empty_loop,22499999446801,27802,0,0,0,0,0,0
60,empty_loop,22499999498698,27830,0,0,0,0,0,0
61,empty_loop,22499999552266,29679,0,0,0,0,0,0
62,empty_loop,22499999605488,28506,0,0,0,0,0,0
63,empty_loop,22499999656158,26472,0,0,0,0,0,0
64,empty_loop,22499999704551,25376,0,0,0,0,0,0
65,empty_loop,22499999753237,25759,0,0,0,0,0,0
66,empty_loop,22499999803002,26105,0,0,0,0,0,0
67,empty_loop,22499999851691,25761,0,0,0,0,0,0
68,empty_loop,22499999928739,33976,0,0,0,0,0,0
69,empty_loop,22499999978991,26081,0,0,0,0,0,0
70,empty_loop,22500000031028,27352,0,0,0,0,0,0
71,empty_loop,22500000081232,25614,0,0,0,0,0,0
72,empty_loop,22500000130809,26619,0,0,0,0,0,0
73,empty_loop,22500000181868,26448,0,0,0,0,0,0
74,empty_loop,22500000231616,26617,0,0,0,0,0,0
75,empty_loop,22500000280784,24933,0,0,0,0,0,0
76,empty_loop,22500000328941,25652,0,0,0,0,0,0
77,empty_loop,22500000376811,25680,0,0,0,0,0,0
78,empty_loop,22500000423847,25463,0,0,0,0,0,0
79,empty_loop,22500000469975,24747,0,0,0,0,0,0
80,empty_loop,22500000517676,25176,0,0,0,0,0,0
81,empty_loop,22500000564806,25557,0,0,0,0,0,0
82,empty_loop,22500000613187,26043,0,0,0,0,0,0
83,empty_loop,22500000661028,25467,0,0,0,0,0,0
84,empty_loop,22500000707339,24608,0,0,0,0,0,0
85,empty_loop,22500000754742,25645,0,0,0,0,0,0
86,empty_loop,22500000802245,25090,0,0,0,0,0,0
87,empty_loop,22500000848832,24877,0,0,0,0,0,0
88,empty_loop,22500000895913,24477,0,0,0,0,0,0
89,empty_loop,22500000951751,34195,0,0,0,0,0,0
90,empty_loop,22500000997957,24244,0,0,0,0,0,0
91,empty_loop,22500001044010,25071,0,0,0,0,0,0
92,empty_loop,22500001091268,24971,0,0,0,0,0,0
93,empty_loop,22500001137033,24741,0,0,0,0,0,0
94,empty_loop,22500001184992,25912,0,0,0,0,0,0
95,empty_loop,22500001231761,24794,0,0,0,0,0,0
96,empty_loop,22500001278653,25737,0,0,0,0,0,0
97,empty_loop,22500001324977,25153,0,0,0,0,0,0
98,empty_loop,22500001367319,22701,0,0,0,0,0,0
99,empty_loop,22500001410552,22920,0,0,0,0,0,0
