run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,ops_per_second,ns_per_operation
0,rwlock_1threads_0write,25578495402421,13138529,0,0,0,0,-1,-1,76112021,13.14
1,rwlock_2threads_0write,25578508630197,22395856,0,0,0,0,-1,-1,44651118,44.79
2,rwlock_4threads_0write,25578531084672,67152240,0,0,0,0,-1,-1,14891536,268.61
3,rwlock_8threads_0write,25578598346229,87806870,0,0,0,0,-1,-1,11388631,702.45
4,rwlock_1threads_10write,25578686614396,14790434,0,0,0,0,-1,-1,67611268,14.79
5,rwlock_2threads_10write,25578701511252,41344762,0,0,0,0,-1,-1,24186861,82.69
6,rwlock_4threads_10write,25578742993981,157577413,0,0,0,0,-1,-1,6346087,630.31
7,rwlock_8threads_10write,25578900877997,195801514,0,0,0,0,-1,-1,5107213,1566.41
8,rwlock_1threads_50write,25579097032736,18549634,0,0,0,0,-1,-1,53909419,18.55
9,rwlock_2threads_50write,25579115724304,66278619,0,0,0,0,-1,-1,15087822,132.56
10,rwlock_4threads_50write,25579182186301,109341314,0,0,0,0,-1,-1,9145674,437.37
11,rwlock_8threads_50write,25579291785130,128228190,0,0,0,0,-1,-1,7798597,1025.83
12,rwlock_1threads_100write,25579420436957,15932294,0,0,0,0,-1,-1,62765600,15.93
13,rwlock_2threads_100write,25579436510769,52823885,0,0,0,0,-1,-1,18930830,105.65
14,rwlock_4threads_100write,25579489490666,106477015,0,0,0,0,-1,-1,9391698,425.91
15,rwlock_8threads_100write,25579596156395,188203903,0,0,0,0,-1,-1,5313386,1505.63
