run,syscall_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu
0,baseline,22463391186236,1849214,0,1,0,0,0,0
1,baseline,22463392933980,1691276,0,0,0,0,0,0
2,baseline,22463394649836,1667927,0,0,0,0,0,0
3,baseline,22463396355908,1659583,0,0,0,0,0,0
4,baseline,22463398069222,1667188,0,0,0,0,0,0
5,baseline,22463399758839,1651949,0,0,0,0,0,0
6,baseline,22463401450119,1650506,0,0,0,0,0,0
7,baseline,22463403145971,1655456,0,0,0,0,0,0
8,baseline,22463404817763,1635219,0,0,0,0,0,0
9,baseline,22463406481524,1625384,0,0,0,0,0,0
0,getpid,22463487653975,81137448,0,1,1,0,0,0
1,getpid,22463559764726,72005348,0,0,0,0,0,0
2,getpid,22463632370347,72522775,0,1,0,0,0,0
3,getpid,22463704619119,72140947,0,1,0,0,0,0
4,getpid,22463776251701,71569721,0,1,0,0,0,0
5,getpid,22463848572952,72280378,0,0,0,0,0,0
6,getpid,22463920657574,72044772,0,1,0,0,0,0
7,getpid,22463992969546,72260507,0,0,0,0,0,0
8,getpid,22464064495793,71487820,0,1,0,0,0,0
9,getpid,22464137479020,72884492,0,0,0,0,0,0
0,read_devnull,22464220758630,83166395,0,2,0,0,0,0
1,read_devnull,22464310692063,89905881,0,31,0,0,0,0
2,read_devnull,22464394385058,83637235,0,0,0,0,0,0
3,read_devnull,22464477407225,82992043,0,1,0,0,0,0
4,read_devnull,22464560414437,82936588,0,0,0,0,0,0
5,read_devnull,22464645785091,85285720,0,0,0,0,0,0
6,read_devnull,22464729291672,83410416,0,0,0,0,0,0
7,read_devnull,22464812180006,82835503,0,1,0,0,0,0
8,read_devnull,22464895672668,83443022,0,0,0,0,0,0
9,read_devnull,22464979188040,83451080,0,1,0,0,0,0
0,getrusage,22465159637647,180420991,0,1,0,0,0,0
1,getrusage,22465348705966,189011116,0,39,0,0,0,0
2,getrusage,22465529434553,180646309,0,3,0,0,0,0
3,getrusage,22465710560207,181042685,0,3,0,0,0,0
4,getrusage,22465892079356,181455478,0,2,0,0,0,0
5,getrusage,22466077625908,185501669,0,6,0,0,0,0
6,getrusage,22466258800533,181084536,0,4,0,0,0,0
7,getrusage,22466446266130,187392707,0,31,0,0,0,0
8,getrusage,22466628062977,181738298,0,0,0,0,0,0
9,getrusage,22466808762622,180639936,0,1,0,0,0,0
