run,workload_type,timestamp_ns,runtime_ns,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,minor_page_faults,major_page_faults,start_cpu,end_cpu,ns_per_access
0,tlb_pressure_16KB_stride1,25007105336222,2936748,0,0,0,0,-1,-1,2.94
1,tlb_pressure_16KB_stride2,25007108289774,2106498,0,0,0,0,-1,-1,2.11
2,tlb_pressure_16KB_stride4,25007110396789,2117700,0,0,0,0,-1,-1,2.12
3,tlb_pressure_16KB_stride8,25007112515434,2188997,0,0,0,0,-1,-1,2.19
4,tlb_pressure_16KB_stride16,25007114706976,2225787,0,0,0,0,-1,-1,2.23
5,tlb_pressure_64KB_stride1,25007117049691,1973277,0,0,0,0,-1,-1,1.97
6,tlb_pressure_64KB_stride2,25007119026120,1991563,0,0,0,0,-1,-1,1.99
7,tlb_pressure_64KB_stride4,25007121017978,2058934,0,0,0,0,-1,-1,2.06
8,tlb_pressure_64KB_stride8,25007123077228,2097358,0,0,0,0,-1,-1,2.10
9,tlb_pressure_64KB_stride16,25007125174897,2097000,0,0,0,0,-1,-1,2.10
10,tlb_pressure_256KB_stride1,25007127379426,2089524,0,0,0,0,-1,-1,2.09
11,tlb_pressure_256KB_stride2,25007129469528,2078218,0,0,0,0,-1,-1,2.08
12,tlb_pressure_256KB_stride4,25007131548108,2077319,0,0,0,0,-1,-1,2.08
13,tlb_pressure_256KB_stride8,25007133625770,2077359,0,0,0,0,-1,-1,2.08
14,tlb_pressure_256KB_stride16,25007135703541,2069123,0,0,0,0,-1,-1,2.07
15,tlb_pressure_1024KB_stride1,25007138039409,2070496,0,0,0,0,-1,-1,2.07
16,tlb_pressure_1024KB_stride2,25007140110701,2080902,0,0,0,0,-1,-1,2.08
17,tlb_pressure_1024KB_stride4,25007142191933,2095776,0,0,0,0,-1,-1,2.10
18,tlb_pressure_1024KB_stride8,25007144288057,2082852,0,0,0,0,-1,-1,2.08
19,tlb_pressure_1024KB_stride16,25007146371318,2065207,0,0,0,0,-1,-1,2.07
20,tlb_pressure_4096KB_stride1,25007149934113,4110477,0,0,0,0,-1,-1,4.11
21,tlb_pressure_4096KB_stride2,25007154045523,2083427,0,0,0,0,-1,-1,2.08
22,tlb_pressure_4096KB_stride4,25007156129325,2079770,0,0,0,0,-1,-1,2.08
23,tlb_pressure_4096KB_stride8,25007158209518,2080411,0,0,0,0,-1,-1,2.08
24,tlb_pressure_4096KB_stride16,25007160290373,2085673,0,0,0,0,-1,-1,2.09
25,tlb_pressure_16384KB_stride1,25007167581076,6606815,0,0,0,0,-1,-1,6.61
26,tlb_pressure_16384KB_stride2,25007174191661,4062675,0,0,0,0,-1,-1,4.06
27,tlb_pressure_16384KB_stride4,25007178254795,3903591,0,0,0,0,-1,-1,3.90
28,tlb_pressure_16384KB_stride8,25007182158767,2583804,0,0,0,0,-1,-1,2.58
29,tlb_pressure_16384KB_stride16,25007184742965,2086318,0,0,0,0,-1,-1,2.09
